id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
188716,1,ti,hand,,,,
188717,2,leṇga,left,,,,
188906,3,e̲to̲m,right,,,,
188907,3,jo̲jo̲m,right,,,,
188719,4,jaṇga,leg/foot,,,,
188908,5,dãṛã,to walk,,,,
188909,5,daṛan,to walk,,,,
188910,6,ho̲r,road/path,,,,
188911,6,so̲ṛo̲k,road/path,,,,
188912,7,dela,to come,,,,
188913,7,ma,to come,,,,
188723,8,ạcur,to turn,,,,
188724,9,paera,to swim,,,,
188725,10,mạilạ,dirty,,,,
194552,11,dhuṛi,dust,,,,
194553,11,ḍigir,dust,,,,
194554,11,garda,dust,,,,
188726,12,harta,skin,,,,
188727,13,dea,back,,,,
188728,14,lạc',belly,,,,
188729,15,jaṇ,bone,,,,
194556,16,lac',intestines,,,,
194558,17,im,liver,,,,
188730,18,koṛam,breast,,,,
194561,19,phạṛi,shoulder,,,,
194562,19,taren,shoulder,,,,
188731,20,baḍae,"to know, be knowledgeable",,,,
188732,21,hudis,to think,,,,
188733,22,bo̲to̲r,to fear,,,,
188734,23,mãyãm,blood,,,,
188735,24,bo̲ho̲k',head,,,,
188736,25,ho̲ṭo̲k',neck,,,,
188737,26,up',hair,,,,
188738,27,mũ,nose,,,,
188739,28,sahe̲t',to breathe,,,,
194569,29,so̲,"to sniff, smell",,,,
194570,29,ji,"to sniff, smell",,,,
194571,29,bas,"to sniff, smell",,,,
188740,30,moca,mouth,,,,
188741,31,ḍaṭa,tooth,Hindi/Bengali,L,,
188742,32,alaṇ,tongue,,,,
188743,33,landa,to laugh,,,,
188744,34,rak',to cry,,,,
188914,35,phaṭkar,to vomit,,,,
188915,35,ulạ,to vomit,,,,
188746,36,tho,to spit,,,,
188747,37,jo̲m,to eat,,,,
188748,38,to̲go̲c',to chew,,,,
188749,39,isin,to cook,,,,
188750,40,ńũ,to drink,,,,
188751,41,ge̲r,to bite,,,,
194572,42,ce̲pe̲c',to suck,,,,
188752,43,lutur,ear,,,,
188753,44,ańjo̲m,to hear,,,,
188754,45,me̲t',eye,,,,
188755,46,ńe̲l,to see,,,,
194576,47,ańgo̲p',to yawn,,,,
188756,48,jạpit',to sleep,,,,
188757,49,gitic',to lie down,,,,
188758,50,kukmu,to dream,noun,,,
188759,51,duṛup',to sit,,,,
188916,52,beret',to stand,,,,
188917,52,teṇgo,to stand,,,,
188761,53,ho̲ṛ,person/human being,,,,
188762,54,he̲re̲l,man/male,,,,
188763,55,maejiu,woman/female,,,,
188764,56,ho̲po̲n,child,,,,
188765,57,jãwãe,husband,,,,
188918,58,bạhu,wife,,,,
188919,58,era,wife,,,,
188920,59,ayoo,mother,,,,
188921,59,eṇga,mother,,,,
188922,59,go̲,mother,,,,
188923,60,apa,father,,,,
188924,60,baba,father,,,,
188769,61,oṛak',house,,,,
188770,62,cal,thatch/roof,,,,
188771,63,ńutum,name,,,,
188925,64,me̲n,to say,,,,
188926,64,lại,to say,,,,
188773,65,baber,rope,,,,
188774,66,to̲l,"to tie up, fasten",,,,
188775,67,silại,to sew,,,,
188776,68,sui,needle,,,,
188777,70,ṭhu,to shoot,,,,
188778,71,so̲bo̲k',"to stab, pierce",,,,
188779,72,dal,to hit,,,,
188780,73,kombṛo,to steal,,,,
188927,74,beṇḍao,to kill,,,,
188928,74,go̲c',to kill,,,,
188929,75,beṇḍaok',"to die, be dead",,,,
188930,75,gujuk',"to die, be dead",,,,
188783,76,jiwe̲t',"to live, be alive",Hindi/Bengali,L,,
188784,77,raboṛ,to scratch,,,,
188785,78,ge̲t',"to cut, hack",,,,
188786,79,ṭheṇga,stick/wood,,,,
188787,81,lase̲r,sharp,,,,
188788,83,kạmi,to work,Hindi/Bengali,L,,
188789,84,ro̲ho̲e,to plant,,,,
188790,85,bachao,to choose,,,,
188791,86,hara,to grow,,,,
188792,87,mo̲,to swell,,,,
188793,90,la,to dig,,,,
188794,91,kiriń,to buy,,,,
188795,92,jhic',"to open, uncover",,,,
188796,93,dal,"to pound, beat",,,,
188797,94,giḍi,to throw,,,,
188902,95,gur,to fall,,,,
188903,95,ńũr,to fall,,,,
188799,96,seta,dog,,,,
188800,97,sim,bird,fowl,,,
188801,98,bele,egg,,,,
188802,99,up',feather,,,,
194573,100,phạ~kṛạ~k',wing,,,,
194574,100,phạkuṛạ,wing,,,,
188803,101,uḍạu,to fly,,,,
188804,102,ho̲n,rat,,,,
188805,103,jel,meat/flesh,,,,
188806,104,itil,fat/grease,,,,
188807,105,caṇḍbo̲l,tail,,,,
188808,106,biń,snake,,,,
194575,107,le̲ṇḍe̲t',worm (earthworm),,,,
194559,108,se,louse,,,,
194560,109,sikṛĩc',mosquito,,,,
194563,110,kuṛumḍum,spider,,,,
194564,110,bindi,spider,,,,
188809,111,hako,fish,,,,
188810,112,sea,rotten,to rot,,,
194551,113,ḍạr,branch,,,,
188811,114,sakam,leaf,,,,
188812,115,re̲he̲t',root,,,,
188813,116,baha,flower,,,,
188814,117,jo̲,fruit,,,,
188815,118,ghãs,grass,,,,
188931,119,hasa,earth/soil,,,,
188932,119,o̲t,earth/soil,,,,
188817,120,dhiri,stone,,,,
188818,121,gitil,sand,,,,
188819,122,dak',water,,,,
188820,123,ạtu,to flow,,,,
188821,124,doreão,sea,,,,
188822,125,buluṇ,salt,,,,
194557,126,jola,lake,shallow lake,,,
188823,127,bir,woods/forest,,,,
188824,128,serma,sky,,,,
188825,129,ńindạ cando,moon,,,,
188826,130,ipil,star,,,,
188827,131,rimil,cloud,,,,
194555,132,ro̲n kuhṛạ,fog,,,,
188828,133,dak',rain,"also means \water\""""",,,
194565,134,rimil saḍe,thunder,verb,,,
194566,134,haḍar huḍur,thunder,verb,,,
188829,135,bijli,lightning,,,,
188830,136,ho̲e,wind,,,,
194567,137,phaph,to blow,,,,
194568,137,phũ,to blow,,,,
188933,138,lo̲lo̲m,warm,,,,
188934,138,urgum,warm,,,,
188935,139,rabaṇ,cold,,,,
188936,139,reaṛ,cold,,,,
188833,140,ro̲ho̲ṛ,dry,,,,
188834,141,lo̲ho̲t',wet,,,,
188835,142,hamal,heavy,,,,
188836,143,se̲ṇge̲l,fire,,,,
188937,144,je̲re̲t',to burn,,,,
188938,144,lo̲,to burn,,,,
188838,145,dhuạ~,smoke,,,,
194550,146,to̲ro̲c',ash,,,,
188839,147,he̲nde̲,black,,,,
188900,148,poṇḍ,white,,,,
188901,148,sada,white,,,,
188841,149,arak',red,,,,
188842,151,hạriạṛ,green,,,,
188939,152,huḍiń,small,,,,
188940,152,kạṭic',small,,,,
188844,153,maraṇ,big,,,,
188845,154,khaṭo̲,short,,,,
188846,155,jeleń,long,,,,
188941,157,osar,thick,,,,
188942,157,phaelao,thick,,,,
188848,160,haso,"painful, sick",pain,,,
188849,161,lajao,"shy, ashamed",shame,,,
188943,162,haṛam,old,,,,
188944,162,maraṇ,old,,,,
188851,163,nãwã,new,Hindi/Bengali,L,,
188945,164,bes,good,,,,
188946,164,bhage,good,,,,
188853,165,bạṛic',"bad, evil",,,,
188854,166,sạri,"correct, true",,,,
188855,167,ńindạ,night,,,,
188947,168,mãhã,day,,,,
188948,168,siń,day,,,,
188949,169,sal,year,,,,
188950,169,ne̲s,year,this year,,,
188951,170,tire,when?,,,,
188952,170,tis,when?,,,,
188953,171,danań,to hide,,,,
188954,171,oko,to hide,,,,
188860,172,de̲c',to climb,,,,
188861,173,ṭhec',at,,,,
188862,174,re,"in, inside",,,,
188955,175,cetan,above,,,,
188956,175,coṭ,above,,,,
188957,175,upạr,above,,,,
188864,176,latar,below,,,,
188958,177,niạ,this,,,1?,
188959,177,nui,this,,,,
188960,178,ona,that,,,,
188961,178,uni,that,,,,
188898,179,sal,near,,,,
188899,179,ne̲s,near,"\this year\""""",,,
188868,180,sạṇgiń,far,,,,
188869,182,iń,I,,,,
188870,183,am,thou,,,,
188904,184,ac',he/she,,,,
188905,184,uni,he/she,,,,
188962,185,abo,we,,,,
188963,185,ale,we,,,,
188873,186,ape,you,,,,
188964,187,unkin,they,,,,
188965,187,ako,they,,,,
188896,188,cet',what?,,,,
188897,188,oka,what?,,,,
188966,189,cele,who?,,,,
188967,189,o̲ko̲e,who?,,,,
188968,190,ar,other,,,,
188969,190,eṭak',other,,,,
188970,191,jo̲to̲,all,,,,
188971,191,sanam,all,,,,
188879,192,ar,and,,,,
188880,193,khan,if,,,,
188881,194,cekate,how?,,,,
188882,195,ba,"no, not",,,,
188883,196,lekha,to count,,,,
188884,197,mit',One,,,,
188885,198,bar,Two,,,,
188886,199,pe̲,Three,,,,
188887,200,pon,Four,,,,
188888,201,mo̲~ṛe̲~,Five,,,,
188889,202,turui,Six,,,,
188890,203,eae,Seven,,,,
188891,204,irạl,Eight,,,,
188892,205,are,Nine,,,,
188893,206,ge̲l,Ten,,,,
188894,209,sae,One Hundred,,,,
188895,210,hajar,One Thousand,,,,
